loan_sequence_number,current_delinquency_status,current_int_rate,actual_loss,credit_score,first_time_homebuyer_flag,original_upb,original_cltv,original_dti_ratio,original_int_rate,property_state,predicted_loss
F09Q40220395,0,5.5,0.0,775,N,109000,124,999,5.5,IL,-1771.544503693403
F09Q20301175,0,4.75,0.0,782,Y,308000,80,44,4.75,WA,-5286.727895303662
F09Q20296666,0,4.75,0.0,800,N,199000,95,21,4.75,WA,-4271.856704142008
F09Q30414780,0,5.25,0.0,780,N,277000,80,33,5.25,PA,-9497.705922920057
F09Q40354996,0,4.875,0.0,784,N,224000,92,18,4.875,NC,-6863.784927158908
F09Q40239754,0,4.25,0.0,750,N,100000,59,26,4.25,TN,-6393.168432241039
F09Q20553169,0,4.875,0.0,813,N,207000,62,18,4.875,AL,-9313.310051439476
F09Q40390548,0,4.375,0.0,782,N,73000,49,40,4.375,WI,-9035.41885812338
F09Q30125402,0,5.5,0.0,787,Y,356000,75,64,5.5,FL,-4898.568394845161
F09Q30135315,0,4.75,0.0,776,N,159000,70,27,4.75,UT,-5744.105616499497
F09Q30322797,0,5.625,0.0,763,N,267000,90,999,5.625,NH,-4761.603046705032
F09Q40284756,0,5.125,0.0,808,N,57000,33,13,5.125,MO,-5758.324560446336
F09Q20142289,0,4.625,0.0,785,N,319000,66,39,4.625,MD,-5089.708209021238
F09Q40207170,0,5.25,0.0,746,N,196000,90,999,5.25,WI,-5184.457013579414
F09Q20086272,0,4.75,0.0,803,N,79000,52,999,4.75,KY,-9315.340091648128
F09Q40079066,0,5.0,0.0,790,N,343000,60,999,5.0,CA,-6307.006341818295
F09Q20102956,0,5.125,0.0,809,N,174000,68,35,5.125,MO,-4475.589310157727
F09Q20620436,0,4.875,0.0,768,N,184000,67,16,4.875,PA,-9530.273714515588
F09Q40295458,0,5.25,0.0,789,N,449000,75,53,5.25,CA,-6438.091485903566
F09Q30394834,0,4.95,0.0,766,N,63000,51,24,4.95,ID,-8359.603739695063
F09Q20650289,RA,5.375,-124834.23,766,N,136000,73,23,5.375,PA,-131455.1842850775
F09Q20037900,0,5.25,0.0,714,N,113000,89,28,5.25,OH,-7599.865770813996
F09Q20386693,0,5.375,0.0,793,N,121000,48,33,5.375,NC,-3043.233732651719
F09Q20013012,0,4.875,0.0,803,N,214000,78,14,4.875,IL,-2438.6293998017413
F09Q20134449,0,4.625,0.0,747,N,375000,79,47,4.625,CA,-5619.268614729772
F09Q20249978,0,4.5,0.0,768,Y,120000,56,31,4.5,IL,-3787.8151354716256
F09Q20331710,0,4.875,0.0,754,N,271000,50,17,4.875,NY,-3467.9277015815296
F09Q30025925,0,5.0,0.0,774,N,45000,64,19,5.0,ID,-5028.090830898632
F09Q30276797,0,6.0,0.0,715,N,128000,80,16,6.0,GA,-8229.722594081253
F09Q30212924,0,5.125,0.0,788,N,128000,80,30,5.125,VA,-9591.137137936632
F09Q20568660,0,4.5,0.0,747,N,417000,67,47,4.5,WI,-4866.615019517213
F09Q30310056,RA,6.0,-39639.8,677,N,71000,75,38,6.0,AR,-39118.032734884655
F09Q30067562,0,5.25,0.0,666,N,70000,65,999,5.25,PA,-2026.0181911917
F09Q40191244,0,5.25,0.0,786,Y,300000,80,32,5.25,NJ,-4881.271226049843
F09Q20360235,0,4.75,0.0,785,N,226000,80,19,4.75,VA,-6520.75711780967
F09Q20414919,0,4.875,0.0,756,N,235000,40,999,4.875,IL,-4676.258084968027
F09Q20228918,0,4.625,0.0,767,N,70000,56,24,4.625,OH,-3093.522955192881
F09Q20074371,0,5.125,0.0,788,N,271000,84,45,5.125,MD,-3418.299215765448
F09Q20373140,0,4.75,0.0,786,N,100000,80,31,4.75,FL,-4323.217795697871
F09Q20686086,0,5.25,0.0,728,N,112000,70,27,5.25,CA,-1442.9956757558318
F09Q40137927,0,5.375,0.0,785,N,116000,80,16,5.375,IN,-8107.897153154485
F09Q30307248,0,5.0,0.0,772,N,189000,35,28,5.0,SC,-1480.5330726345865
F09Q20157478,0,5.25,0.0,779,N,414000,46,7,5.25,FL,-3385.594629461169
F09Q30235134,0,5.625,0.0,795,N,216000,65,999,5.625,MD,-7183.10589163712
F09Q40340039,0,5.375,0.0,711,N,80000,62,999,5.375,PA,-7461.076633260833
F09Q30013538,0,5.0,0.0,809,N,155000,95,999,5.0,MI,-2797.5918628586755
F09Q20176970,0,4.875,0.0,786,N,183000,68,33,4.875,IL,-7719.175922587274
F09Q20367855,0,4.375,0.0,790,N,136000,36,36,4.375,AZ,-3371.8551703491903
F09Q40277250,0,4.875,0.0,777,N,238000,59,24,4.875,UT,-9522.611235886205
F09Q20387263,0,5.5,0.0,768,N,123000,60,15,5.5,AZ,-5649.981904398304
F09Q20668802,0,5.25,0.0,772,N,155000,95,26,5.25,IA,-5745.919278366254
F09Q20032120,0,5.125,0.0,669,N,129000,78,15,5.125,MI,-3887.2537670861766
F09Q30224156,0,5.5,0.0,761,N,83000,95,39,5.5,KY,-4281.928787814918
F09Q30062069,0,4.75,0.0,793,N,135000,60,50,4.75,VA,-4357.601252339521
F09Q30268046,0,5.25,0.0,802,N,344000,85,29,5.25,WA,-9780.073222683332
F09Q20181855,0,4.875,0.0,790,N,417000,40,22,4.875,CA,-9100.729568185834
F09Q30095905,17,5.5,-27938.94,784,N,111000,72,38,5.5,AZ,-26870.84482151929
F09Q30121177,0,4.875,0.0,770,N,108000,80,35,4.875,IN,-6632.340694514264
F09Q30339169,0,5.25,0.0,755,N,136000,80,48,5.25,GA,-6027.433320899231
F09Q20095043,0,5.125,0.0,696,N,118000,85,25,5.125,OH,-2914.0548367277397
F09Q20531243,0,5.25,0.0,794,N,86000,46,28,5.25,MI,-5975.518327955433
F09Q20117654,0,5.0,0.0,780,N,200000,80,40,5.0,MI,-7723.93417964326
F09Q30445470,0,4.875,0.0,716,N,200000,50,18,4.875,SC,-9215.038025096292
F09Q30100962,0,4.875,0.0,749,N,190000,61,60,4.875,WA,-1087.1282856240202
F09Q40420572,0,4.75,0.0,742,N,417000,76,45,4.75,CA,-4711.525146979905
F09Q40368589,0,4.25,0.0,797,N,132000,78,999,4.25,MN,-7044.023594619898
F09Q20118330,0,4.375,0.0,774,N,123000,60,21,4.375,VA,-6642.273910764063
F09Q20369966,0,4.25,0.0,722,N,110000,40,43,4.25,SC,-9958.55828973384
F09Q20351223,0,4.875,0.0,759,N,417000,41,15,4.875,CA,-8252.24129397103
F09Q20291829,0,4.75,0.0,724,N,103000,79,17,4.75,FL,-5163.416705273994
F09Q20224412,0,5.375,0.0,735,N,158000,80,51,5.375,WI,-5138.013390485232
F09Q20089706,0,4.625,0.0,816,N,205000,46,45,4.625,MA,-9060.652633512282
F09Q20469046,0,5.125,0.0,754,N,121000,93,999,5.125,NV,-9345.57514788219
F09Q40042800,0,5.375,0.0,811,Y,512000,80,30,5.375,CA,-6369.052424244863
F09Q30140428,0,4.5,0.0,803,N,116000,80,28,4.5,AR,-1200.0448670527494
F09Q20348753,0,5.0,0.0,758,N,318000,80,39,5.0,WA,-3622.4289359511295
F09Q20629791,0,5.25,0.0,783,N,100000,53,23,5.25,OH,-8790.407751420378
F09Q30307839,0,5.5,0.0,699,N,260000,80,45,5.5,MA,-5817.731105195796
F09Q20527402,0,4.75,0.0,793,N,164000,77,24,4.75,IN,-4981.167349435139
F09Q20361433,0,4.875,0.0,704,N,125000,78,13,4.875,CO,-5468.345667133402
F09Q10099386,55,5.25,-199577.82,638,Y,403000,70,41,5.25,NY,-195196.21619990407
F09Q20498810,0,4.875,0.0,806,N,57000,25,37,4.875,MI,-4399.272709939403
F09Q40336167,0,5.125,0.0,803,N,341000,86,999,5.125,OR,-3267.776812357458
F09Q20100314,0,4.75,0.0,809,N,103000,80,23,4.75,NE,-1910.0496869181648
F09Q20467177,0,4.75,0.0,800,N,74000,53,36,4.75,TX,-4167.50202600761
F09Q10623026,RA,4.875,-163602.11,736,N,233000,89,32,4.875,PA,-147971.01988162682
F09Q40376753,0,4.875,0.0,780,N,204000,92,999,4.875,CA,-7337.99308856311
F09Q40200595,0,4.875,0.0,789,N,271000,68,21,4.875,PA,-5344.071819314301
F09Q40205789,RA,5.375,-135832.34,597,N,402000,103,999,5.375,WI,-127509.42596268911
F09Q20503997,0,5.5,0.0,766,N,99000,69,31,5.5,OK,-1679.92752405622
F09Q20100777,0,5.125,0.0,802,Y,104000,80,25,5.125,CA,-7992.23273438752
F09Q20356808,0,4.875,0.0,792,N,194000,44,20,4.875,TN,-4318.094466881485
F09Q30206949,0,5.25,0.0,806,N,228000,80,29,5.25,GA,-5459.636041028809
F09Q20085231,0,4.875,0.0,727,N,200000,17,39,4.875,MI,-7080.455550620808
F09Q30147120,0,5.5,0.0,695,N,100000,85,24,5.5,NY,-8765.196533880653
F09Q20495915,0,4.5,0.0,764,N,117000,79,15,4.5,NC,-8085.608458704899
F09Q40160595,0,4.875,0.0,774,N,232000,80,30,4.875,AZ,-6539.316404597269
F09Q30235333,0,5.625,0.0,738,N,306000,98,999,5.625,NC,-8962.924644576196
F09Q40173061,0,5.0,0.0,731,N,305000,60,999,5.0,PA,-4251.311469010528
F09Q40194417,0,5.25,0.0,806,Y,160000,67,40,5.25,NJ,-9380.370552568666
F09Q40376336,0,4.75,0.0,809,N,262000,80,16,4.75,UT,-4866.022110803763
F09Q20292021,0,4.75,0.0,791,N,144000,40,26,4.75,MD,-4268.489736844866
F09Q20665433,0,5.375,0.0,798,N,97000,80,60,5.375,GA,-2301.511171556225
F09Q30297764,0,5.5,0.0,809,N,148000,71,28,5.5,TX,-5903.80506639215
F09Q20568950,0,4.5,0.0,785,N,408000,73,20,4.5,MN,-1511.6422411009755
F09Q40428113,55,5.375,0.0,471,N,336000,103,999,5.375,NY,-1100.29812915349
F09Q40093470,0,4.75,0.0,786,N,365000,73,28,4.75,MN,-5949.068977089484
F09Q30290117,0,4.875,0.0,772,Y,126000,90,40,4.875,LA,-2736.3200174072567
F09Q20367354,0,4.375,0.0,806,N,120000,27,12,4.375,CA,-1618.145671687182
F09Q30309598,0,4.625,0.0,704,N,199000,47,44,4.625,WA,-8678.212336327711
F09Q30102325,0,4.75,0.0,796,N,333000,90,41,4.75,NY,-6127.671912320292
F09Q20653071,0,5.0,0.0,807,N,300000,58,23,5.0,CA,-3068.144565748543
F09Q40059993,0,4.75,0.0,796,N,143000,65,27,4.75,FL,-8111.514160447003
F09Q20067835,0,5.375,0.0,781,N,237000,72,59,5.375,MI,-9311.79116791649
F09Q40187971,0,5.25,0.0,739,N,216000,104,999,5.25,CA,-5745.165426277186
F09Q20357842,0,4.5,0.0,811,N,180000,80,55,4.5,MD,-5252.543912791127
F09Q20392888,0,4.625,0.0,782,N,149000,80,26,4.625,IN,-2518.7314865887497
F09Q20649817,0,5.375,0.0,786,N,44000,80,11,5.375,CA,-3228.1876248790204
F09Q30299143,0,5.5,0.0,763,Y,210000,80,43,5.5,MA,-1404.226301933847
F09Q40165865,0,5.875,0.0,667,N,262000,103,999,5.875,MA,-3908.91008003816
F09Q20060781,0,4.5,0.0,776,N,230000,78,24,4.5,IL,-6945.185468477656
F09Q20218829,0,4.99,0.0,744,N,246000,71,41,4.99,MA,-3504.8835967042924
F09Q40199057,0,5.0,0.0,707,Y,348000,80,54,5.0,WY,-3436.8481045894127
F09Q40112078,0,4.375,0.0,689,Y,26000,61,26,4.375,KY,-3842.960242295363
F09Q30329502,0,5.875,0.0,811,N,49000,19,999,5.875,CT,-3741.301264284258
F09Q20659918,0,5.375,0.0,720,N,81000,30,999,5.375,KS,-7918.3112312143585
F09Q20288793,0,5.5,0.0,719,N,109000,52,4,5.5,TX,-6513.121550881261
F09Q20241625,0,4.875,0.0,807,N,79000,61,35,4.875,AL,-8485.86775123861
F09Q30148407,0,5.0,0.0,705,N,155000,43,48,5.0,CA,-2632.7134500328043
F09Q20112278,0,5.125,0.0,727,N,141000,89,34,5.125,KY,-9302.273967319908
F09Q30122290,0,4.625,0.0,771,N,417000,80,15,4.625,NC,-3251.8684229855967
F09Q30436315,0,4.625,0.0,773,N,155000,38,25,4.625,VA,-4676.535810515884
F09Q30220309,0,5.375,0.0,737,N,336000,89,999,5.375,OR,-1527.826629664655
F09Q30267917,0,4.75,0.0,654,N,60000,28,48,4.75,IL,-2804.0663331532155
F09Q40034265,0,4.75,0.0,763,N,107000,18,27,4.75,FL,-5454.778157427388
F09Q30122743,0,5.25,0.0,701,N,107000,64,29,5.25,OK,-2787.921410759065
F09Q30323783,0,5.25,0.0,780,N,150000,63,20,5.25,PA,-4572.51339078813
F09Q20586712,0,4.375,0.0,711,N,341000,49,34,4.375,CT,-3459.029262986036
F09Q10154361,0,4.625,0.0,811,N,65000,26,40,4.625,MD,-9469.76914189294
F09Q20343710,0,4.75,0.0,771,N,183000,36,28,4.75,CA,-7551.465266693815
F09Q20558511,0,4.875,0.0,695,N,202000,70,48,4.875,IL,-8473.891023504488
F09Q20259087,0,4.875,0.0,727,N,200000,38,15,4.875,IN,-3192.4394661164984
F09Q40293335,0,5.375,0.0,732,N,166000,104,999,5.375,MN,-5523.849922076601
F09Q20483595,RA,4.875,-129927.26,715,N,372000,80,48,4.875,CO,-136666.68026385893
F09Q40352586,0,5.125,0.0,723,N,175000,80,35,5.125,OH,-8612.833062573332
F09Q30134479,0,4.625,0.0,714,N,150000,60,38,4.625,KY,-3729.7035489807727
F09Q30062469,0,5.0,0.0,761,N,122000,92,999,5.0,WA,-2857.3799442646687
F09Q30145787,0,4.875,0.0,720,N,73000,66,34,4.875,NY,-4975.076162129047
F09Q20407774,0,4.875,0.0,685,N,320000,80,46,4.875,TX,-6156.223029078859
F09Q40194016,0,5.375,0.0,729,N,290000,60,26,5.375,WA,-6452.434930706413
F09Q20426771,0,4.5,0.0,777,N,160000,53,39,4.5,MI,-3714.633423657976
F09Q20182175,0,4.875,0.0,790,N,264000,65,27,4.875,IL,-3289.224956634929
F09Q30038890,0,5.875,0.0,673,Y,49000,80,36,5.875,AZ,-4007.4067867530234
F09Q20620626,0,4.375,0.0,747,N,256000,48,33,4.375,MD,-2171.4386239094542
F09Q30065471,0,4.875,0.0,810,N,75000,84,45,4.875,PA,-8023.678868564636
F09Q30195686,0,5.375,0.0,802,Y,52000,95,26,5.375,NY,-9069.864830939594
F09Q20052514,0,4.75,0.0,730,N,68000,90,22,4.75,KY,-4213.5792430218735
F09Q30139381,0,4.875,0.0,780,N,120000,56,35,4.875,AZ,-3002.6089837672966
F09Q20600514,0,4.375,0.0,744,N,145000,71,30,4.375,MI,-8629.850026708307
F09Q20077137,0,4.625,0.0,799,N,95000,49,23,4.625,WI,-5866.305494214765
F09Q20188183,0,4.75,0.0,789,N,224000,77,26,4.75,SC,-4956.7595483444975
F09Q30181454,0,4.5,0.0,738,N,218000,77,999,4.5,MN,-3552.1398287616
F09Q20650361,0,5.375,0.0,738,N,126000,72,40,5.375,MA,-4019.083273573865
F09Q20325951,0,5.0,0.0,792,N,194000,71,17,5.0,KS,-8413.87700274036
F09Q20231401,0,4.75,0.0,774,N,200000,61,55,4.75,CA,-6837.961947328599
F09Q20176493,0,4.5,0.0,722,N,300000,43,48,4.5,MN,-3077.1908065970783
F09Q30352407,0,5.25,0.0,726,Y,200000,80,24,5.25,TX,-3209.002030272636
F09Q40314769,0,5.375,0.0,788,N,114000,81,999,5.375,UT,-5173.17750999715
F09Q40041256,0,4.5,0.0,730,Y,16000,36,54,4.5,OH,-8780.81567902034
F09Q40389767,0,4.875,0.0,794,Y,84000,80,28,4.875,AL,-8237.28277691558
F09Q40147978,0,5.125,0.0,753,Y,150000,66,48,5.125,NJ,-6891.446005662927
F09Q30059505,0,4.75,0.0,690,N,352000,90,999,4.75,CA,-4744.876605677655
F09Q40007941,0,5.0,0.0,776,Y,150000,40,52,5.0,CT,-3607.6022359006392
F09Q40220164,0,5.0,0.0,806,N,304000,75,20,5.0,CT,-7195.767901635276
F09Q20275494,0,5.0,0.0,720,N,122000,80,35,5.0,SC,-7594.786788813637
F09Q20663471,0,4.75,0.0,769,N,143000,98,999,4.75,MN,-6224.085807453434
F09Q20338123,0,5.0,0.0,783,N,198000,80,62,5.0,CA,-1031.0701776207577
F09Q20087745,0,4.375,0.0,736,N,140000,65,39,4.375,GA,-8524.670292591976
F09Q40291305,0,5.25,0.0,779,N,417000,59,9,5.25,OR,-4226.768521926375
F09Q20253516,0,4.375,0.0,783,N,288000,77,40,4.375,CA,-9091.82484307602
F09Q40400454,0,4.75,0.0,772,N,145000,80,14,4.75,GA,-6831.074957612954
F09Q40022392,0,5.75,0.0,745,N,186000,70,45,5.75,CT,-6214.805412356455
F09Q20365997,0,4.5,0.0,776,N,85000,70,32,4.5,OH,-9473.182609674812
F09Q20386796,0,5.25,0.0,809,N,143000,51,40,5.25,IL,-7774.390127529651
F09Q20342179,0,5.125,0.0,816,N,258000,70,24,5.125,UT,-8357.62689343059
F09Q30339872,0,5.375,0.0,792,N,172000,80,38,5.375,FL,-1796.8120790869475
F09Q30443295,0,5.625,0.0,746,N,108000,90,34,5.625,PA,-6043.195095970235
F09Q30273346,0,5.125,0.0,757,N,70000,49,18,5.125,KY,-4400.317250921451
F09Q20171577,0,4.875,0.0,706,N,128000,54,28,4.875,IN,-4136.651012016535
F09Q30042096,0,5.5,0.0,698,N,194000,87,999,5.5,IN,-9234.349700915776
F09Q40167495,0,5.375,0.0,745,N,165000,75,28,5.375,IL,-1848.311291056133
F09Q30228813,5,5.5,0.0,719,N,225000,59,39,5.5,NJ,-3816.179724010882
F09Q20392239,0,4.625,0.0,802,N,417000,48,32,4.625,CA,-6843.86212016459
F09Q30397482,0,4.625,0.0,791,N,179000,68,24,4.625,OH,-3854.7860969327808
F09Q40015632,0,5.0,0.0,680,Y,255000,95,36,5.0,IL,-9864.613518884013
F09Q40115133,0,5.125,0.0,812,N,280000,80,53,5.125,OH,-6683.602981488755
F09Q20168733,0,4.875,0.0,770,N,191000,80,32,4.875,OK,-2441.971077196225
F09Q20538055,0,4.75,0.0,801,Y,484000,80,41,4.75,CA,-8398.044680472402
F09Q40286358,0,4.75,0.0,725,N,116000,83,54,4.75,TX,-2123.0152234558686
F09Q20591198,0,4.875,0.0,801,N,50000,67,41,4.875,IL,-1961.060935709719
F09Q20596798,0,5.0,0.0,656,N,134000,61,27,5.0,NC,-8540.22302593158
F09Q40170402,0,4.75,0.0,687,N,198000,90,25,4.75,IA,-3401.7647941026485
F09Q30237998,0,5.0,0.0,581,N,405000,80,999,5.0,NC,-7598.556224477375
F09Q20427078,0,4.875,0.0,772,N,148000,80,28,4.875,TX,-2312.2935382808764
F09Q30380292,0,5.375,0.0,753,N,217000,64,44,5.375,VA,-6726.284629667052
F09Q30127485,0,4.5,0.0,720,N,171000,61,25,4.5,NC,-7277.221697811689
F09Q30404563,0,5.375,0.0,797,N,131000,75,38,5.375,FL,-3687.382095095006
F09Q30289139,0,6.25,0.0,760,N,94000,80,15,6.25,PA,-6739.4353691592205
F09Q40166982,0,5.375,0.0,792,N,120000,49,36,5.375,NY,-7989.58325142029
F09Q30319980,0,5.375,0.0,777,N,97000,80,19,5.375,OH,-9547.5696505187
F09Q40371038,0,4.75,0.0,797,N,83000,16,999,4.75,NJ,-6070.865716920606
F09Q30370835,0,4.375,0.0,771,N,500000,74,33,4.375,NY,-2094.688520513453
F09Q20509153,0,4.875,0.0,795,N,151000,80,36,4.875,PA,-9467.667389387836
F09Q40270324,0,5.25,0.0,785,Y,206000,95,39,5.25,UT,-2504.7900957361585
F09Q40407655,0,5.625,0.0,703,N,374000,80,32,5.625,NY,-9621.293032081308
F09Q40197170,0,5.5,0.0,703,N,404000,80,22,5.5,NV,-7791.310998752661
F09Q20678002,0,4.625,0.0,772,N,397000,30,54,4.625,VA,-4364.041551942508
F09Q40239112,0,5.125,0.0,623,N,109000,104,999,5.125,WI,-7025.795797940099
F09Q30089533,0,4.75,0.0,766,N,118000,33,38,4.75,MA,-8334.594793656053
F09Q20547631,0,4.875,0.0,778,N,454000,59,39,4.875,VA,-2952.5298028210245
F09Q30051394,0,5.25,0.0,708,N,83000,60,31,5.25,MO,-1766.4572070145705
F09Q30380957,0,5.518,0.0,762,N,260000,80,29,5.518,WI,-8457.781676969233
F09Q40048961,0,4.625,0.0,794,N,177000,80,38,4.625,CA,-6504.5003772199725
F09Q30146556,0,5.125,0.0,771,N,240000,76,18,5.125,NJ,-1325.1371419611344
F09Q20344350,0,4.875,0.0,743,N,194000,65,26,4.875,KY,-5054.960722485212
F09Q20272196,0,4.5,0.0,739,N,73000,60,29,4.5,OH,-6808.857654261071
F09Q40067526,0,5.25,0.0,786,N,53000,49,43,5.25,AR,-2975.2029749756057
F09Q20422377,0,4.5,0.0,809,N,115000,56,20,4.5,IN,-6853.19989964427
F09Q20613643,0,5.0,0.0,786,N,233000,52,31,5.0,MA,-4361.574154755365
F09Q40423124,0,5.125,0.0,788,N,264000,102,999,5.125,OR,-3097.3194169805533
F09Q20043786,0,4.875,0.0,769,Y,256000,80,31,4.875,FL,-8074.916040843942
F09Q30291078,0,5.875,0.0,643,N,480000,80,47,5.875,NJ,-2902.763108282145
F09Q20621976,0,4.25,0.0,799,N,67000,33,43,4.25,FL,-6094.208246685534
F09Q20539694,0,4.625,0.0,798,N,205000,33,47,4.625,IL,-5666.627423724474
F09Q20656636,0,4.875,0.0,721,N,126000,80,41,4.875,SD,-6450.4680311367465
F09Q20078053,0,4.875,0.0,743,N,240000,80,50,4.875,MI,-5213.477685453339
F09Q40289786,0,4.5,0.0,808,N,63000,49,20,4.5,IN,-2687.227831554388
F09Q30333502,0,6.0,0.0,721,N,93000,85,999,6.0,MI,-1216.2345566027348
F09Q30221755,0,5.0,0.0,704,N,110000,76,34,5.0,OK,-2858.157556252854
F09Q30387937,0,4.875,0.0,752,N,388000,77,36,4.875,NY,-3742.721574339212
F09Q40238550,0,4.75,0.0,706,N,134000,80,54,4.75,VA,-5550.411825718651
F09Q40306604,0,4.625,0.0,776,N,208000,71,51,4.625,GA,-5117.223214359031
F09Q30162650,0,5.25,0.0,800,N,60000,71,27,5.25,MI,-7138.728621016701
F09Q20229869,0,5.125,0.0,755,Y,100000,95,35,5.125,IN,-2612.0893238439685
F09Q30434390,0,4.875,0.0,723,N,90000,73,21,4.875,KS,-8233.775038824077
F09Q40360587,0,4.5,0.0,691,N,263000,75,24,4.5,GA,-1583.3536686949406
F09Q40362880,0,4.25,0.0,817,N,142000,22,22,4.25,CA,-9920.534816290863
F09Q20187440,0,4.5,0.0,816,N,64000,35,999,4.5,IN,-5816.372410191648
F09Q20393414,0,4.625,0.0,779,N,290000,72,31,4.625,VA,-8606.625399629971
F09Q40244712,0,4.25,0.0,755,N,135000,33,55,4.25,PA,-4946.269909048526
F09Q40331434,0,4.75,0.0,776,N,182000,58,39,4.75,CA,-4549.112028716045
F09Q40434388,0,4.625,0.0,817,N,150000,62,30,4.625,WI,-1729.5317863018306
F09Q30263452,0,5.375,0.0,685,N,135000,83,33,5.375,IL,-6855.395861128503
F09Q30352506,0,5.25,0.0,796,N,158000,45,30,5.25,VA,-6172.899611477709
F09Q40024205,0,4.5,0.0,761,N,417000,43,11,4.5,NY,-2061.2185333824905
F09Q20661928,0,4.875,0.0,780,Y,250000,84,39,4.875,CT,-2287.06002605814
F09Q40144131,0,5.75,0.0,803,N,49000,65,26,5.75,MI,-1901.2019303515292
F09Q10527777,0,4.75,0.0,783,N,246000,25,7,4.75,VA,-5166.59201929942
F09Q20399021,0,5.0,0.0,804,N,38000,48,39,5.0,AR,-3422.981614602954
F09Q20722707,0,5.125,0.0,746,N,400000,80,45,5.125,FL,-5399.471272807628
F09Q30064596,0,5.375,0.0,702,N,97000,81,999,5.375,VA,-4452.993805368199
F09Q20199230,0,5.0,0.0,742,N,198000,80,23,5.0,MN,-6190.775799637089
F09Q20223585,0,5.75,0.0,733,N,94000,75,42,5.75,CA,-8633.769645748387
F09Q20209270,0,4.5,0.0,787,N,260000,77,22,4.5,MN,-7981.726967665344
F09Q40157924,0,5.5,0.0,786,N,50000,20,3,5.5,SC,-4305.00141871889
F09Q20690275,0,4.75,0.0,776,N,118000,18,52,4.75,CA,-8997.376874256837
F09Q20416179,0,5.21,0.0,683,N,219000,88,32,5.21,PA,-4774.711488932329
F09Q20617158,0,4.875,0.0,796,N,340000,65,26,4.875,GA,-7280.018333083802
F09Q30168040,0,4.875,0.0,734,N,306000,80,999,4.875,NJ,-6465.443938906593
F09Q20656469,0,5.0,0.0,710,N,237000,85,44,5.0,IL,-8153.219177992325
F09Q10149688,0,5.125,0.0,790,N,100000,67,35,5.125,NM,-6126.275075023894
F09Q40026702,0,5.25,0.0,748,Y,116000,80,36,5.25,MN,-2483.2002082516324
F09Q20159939,0,4.75,0.0,666,N,255000,75,32,4.75,FL,-5958.337716896315
F09Q20711412,0,4.25,0.0,778,N,317000,83,48,4.25,PA,-3117.957852603741
F09Q40294156,0,4.875,0.0,710,N,183000,80,23,4.875,TN,-4393.499539899394
F09Q40433180,0,4.25,0.0,785,N,100000,79,24,4.25,PA,-8446.140664690625
F09Q40397469,0,4.875,0.0,754,N,225000,65,45,4.875,MD,-7416.364514285026
F09Q20279080,0,5.5,0.0,714,N,122000,29,12,5.5,IL,-4028.377192862344
F09Q40006374,0,5.0,0.0,760,N,143000,60,47,5.0,GA,-6970.456490879609
F09Q30288195,0,5.75,0.0,717,Y,55000,48,38,5.75,IN,-8201.622810780374
F09Q30422407,0,5.25,0.0,794,N,131000,48,34,5.25,VA,-9913.865609798748
F09Q30271504,0,4.5,0.0,742,N,164000,80,48,4.5,MT,-1008.2117152094934
F09Q20067620,0,4.875,0.0,787,N,413000,26,9,4.875,AZ,-9871.808243966663
F09Q40040688,0,4.5,0.0,662,N,147000,59,33,4.5,WA,-3212.797749126497
F09Q20231349,0,4.99,0.0,685,N,240000,80,54,4.99,WA,-6616.999207986048
F09Q40200152,0,4.875,0.0,712,N,344000,80,45,4.875,GA,-4831.388359291509
F09Q40398585,0,4.75,0.0,813,N,107000,64,31,4.75,OR,-3458.4566700439814
F09Q20544036,0,4.875,0.0,801,N,143000,55,999,4.875,IL,-7353.91257434976
F09Q20169332,0,4.875,0.0,802,N,148000,85,53,4.875,ID,-9405.898537178917
F09Q20422454,0,4.375,0.0,772,N,198000,80,21,4.375,SC,-4550.011278969419
F09Q20507364,0,4.649,0.0,742,N,134000,49,30,4.649,OR,-1243.3230518069836
F09Q20096785,0,5.25,0.0,808,N,126000,60,49,5.25,MN,-9487.06387327768
F09Q40213467,0,4.625,0.0,792,Y,154000,90,55,4.625,AL,-5651.33839801017
F09Q20449677,0,4.75,0.0,779,N,337000,80,43,4.75,IL,-2809.1907193757183
F09Q20559699,0,4.875,0.0,744,N,198000,69,34,4.875,NJ,-5614.567387842125
F09Q40039228,0,5.25,0.0,784,N,224000,80,27,5.25,LA,-8963.566283286767
F09Q30166886,0,4.875,0.0,815,N,105000,40,23,4.875,WA,-3937.9061476236857
F09Q30230203,0,5.375,0.0,770,Y,232000,80,47,5.375,IL,-3313.894399818486
F09Q20281664,0,4.625,0.0,782,N,100000,74,15,4.625,GA,-9993.181987888942
F09Q40342860,0,5.25,0.0,778,N,656000,80,35,5.25,CA,-5827.405451855814
F09Q30118827,0,4.875,0.0,745,N,159000,80,18,4.875,OH,-1368.2479337045895
F09Q40152982,0,4.75,0.0,802,N,359000,68,999,4.75,NY,-7361.617473511528
F09Q20064721,0,4.75,0.0,750,N,417000,65,19,4.75,IL,-7606.708650889012
F09Q20400632,0,4.875,0.0,781,N,192000,60,46,4.875,VA,-7917.3400716396
F09Q20328907,0,4.875,0.0,707,N,200000,70,49,4.875,IA,-8611.70391113398
F09Q20713936,0,5.5,0.0,774,N,87000,62,30,5.5,NM,-2505.991934444282
